id,song,acousticness,danceability,energy,instrumentalness,loudness,tempo,valence
3350,9511,0.1790,0.7420,0.7240,0.0002,-3.7670,164.0010,0.5470
3351,9512,0.0342,0.6930,0.8710,0.0024,-4.5120,149.9840,0.1520
3352,9513,0.0155,0.7270,0.7260,0.0001,-5.4530,121.9890,0.5910
3353,9514,0.0205,0.7420,0.7130,0.0000,-5.5220,120.0320,0.8790
3354,9515,0.0228,0.8450,0.5060,0.0000,-5.9710,99.0510,0.6470
3355,9516,0.0625,0.6700,0.9050,0.0002,-2.3850,100.0210,0.5160
3356,9517,0.0650,0.7340,0.6530,0.0001,-3.4650,110.0190,0.3860
3357,9518,0.0211,0.5960,0.8560,0.0178,-3.5560,127.9490,0.7430
3358,9519,0.1540,0.6590,0.9110,0.0003,-2.2800,91.9990,0.5760
3359,9520,0.0097,0.5890,0.6210,0.0010,-6.9020,140.0300,0.4010
3360,9521,0.0668,0.9640,0.6050,0.0000,-6.2230,129.9940,0.6460
3361,9522,0.0064,0.6870,0.7020,0.0000,-5.3240,129.9560,0.2840
3362,9523,0.0467,0.7180,0.7920,0.0000,-3.5190,90.9490,0.9600
3363,9524,0.3110,0.3100,0.7660,0.0000,-4.9900,85.4090,0.2990
3364,9525,0.0802,0.6970,0.6210,0.0000,-6.8860,81.9460,0.7210
3365,9526,0.1620,0.7990,0.5860,0.0000,-6.7350,120.9700,0.5490
3366,9527,0.4240,0.8460,0.5270,0.0000,-5.2290,98.0670,0.4040
3367,9528,0.0354,0.7110,0.5080,0.0000,-7.2990,98.0980,0.6650
3368,9529,0.4070,0.5300,0.4220,0.0000,-6.2620,119.9640,0.3490
3369,9530,0.3090,0.3370,0.7170,0.0000,-5.7720,84.7290,0.4440
3370,9531,0.0064,0.5600,0.7560,0.0000,-4.8170,179.7710,0.4040
3371,9532,0.1540,0.6100,0.8930,0.0000,-3.6810,104.0310,0.6730
3372,9533,0.0332,0.5310,0.7700,0.0000,-7.2050,85.9960,0.5040
3373,9534,0.0224,0.5540,0.9340,0.0000,-2.9650,132.0630,0.6990
3374,9535,0.0383,0.7200,0.7900,0.0000,-4.6860,102.0680,0.7550
3375,9536,0.0071,0.5510,0.6360,0.0020,-7.1250,124.9960,0.1530
3376,9537,0.7190,0.6040,0.3660,0.0000,-7.8810,105.1770,0.1810
3377,9538,0.3280,0.6700,0.4760,0.0000,-6.2530,96.9750,0.2350
3378,9539,0.0099,0.6680,0.4110,0.8570,-13.7110,84.0600,0.3510
3379,9540,0.0036,0.7730,0.4040,0.0000,-7.4380,99.9990,0.2870
3380,9541,0.3040,0.8180,0.6700,0.0000,-4.4510,119.9880,0.9390
3381,9542,0.1190,0.4730,0.7770,0.0001,-3.6980,136.2490,0.2100
3382,9543,0.4750,0.8650,0.3720,0.0000,-10.9270,85.5350,0.7660
3383,9544,0.0372,0.7190,0.6710,0.0000,-6.2790,130.0270,0.7860
2669,8823,0.0051,0.4590,0.8910,0.0000,-5.0570,154.8370,0.5880
2670,8824,0.0141,0.6230,0.9300,0.0000,-5.2850,120.1190,0.2870
2671,8825,0.0756,0.6060,0.5910,0.0000,-7.2280,95.8020,0.4770
2672,8826,0.0865,0.2930,0.6240,0.0000,-7.1300,87.3350,0.2130
2673,8827,0.2500,0.7640,0.4870,0.0000,-6.7340,116.0270,0.3520
2674,8828,0.1660,0.9180,0.8570,0.0003,-5.0320,121.0060,0.9720
2675,8829,0.0106,0.7440,0.6970,0.0000,-5.0630,149.2800,0.7670
2676,8830,0.3300,0.6070,0.5990,0.0000,-6.8860,86.4910,0.5620
2677,8831,0.1890,0.7750,0.7310,0.0000,-5.4460,131.1050,0.8210
2678,8832,0.0217,0.4760,0.7360,0.0000,-5.3800,129.0840,0.2510
2679,8833,0.1590,0.5770,0.7560,0.0002,-5.8200,176.7500,0.6630
2680,8834,0.2260,0.6640,0.3510,0.0000,-12.1360,113.2040,0.8160
2681,8836,0.0003,0.5220,0.8740,0.0058,-4.3920,132.0180,0.1960
2682,8837,0.1230,0.8220,0.9050,0.0000,-4.0320,128.0140,0.6740
2683,8838,0.0007,0.5450,0.9320,0.0000,-2.1890,92.9560,0.4650
2684,8839,0.0159,0.8800,0.4360,0.0000,-7.5880,90.0220,0.7410
2685,8840,0.0745,0.7580,0.6420,0.0000,-8.1280,142.0780,0.7010
2686,8841,0.0023,0.4540,0.6310,0.0000,-4.7330,87.8880,0.3130
2687,8842,0.1020,0.6150,0.6960,0.0000,-4.9200,153.9600,0.7220
2688,8843,0.5280,0.8100,0.5380,0.0000,-5.7840,109.9700,0.8280
2689,8844,0.0104,0.7270,0.7100,0.0000,-6.1420,81.9950,0.3780
