id,title,artist,year,rank
9163,Naturally,Selena Gomez & The Scene,2010,77
9164,Un-Thinkable (I'm Ready),Alicia Keys,2010,78
9165,All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",2010,79
9166,I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",2010,80
9167,Stuck Like Glue,Sugarland,2010,81
9168,Hey Daddy (Daddy's Home),Usher Featuring Plies,2010,82
9169,There Goes My Baby,Usher,2010,83
9170,Today Was A Fairytale,Taylor Swift,2010,84
9171,Say Something,Timbaland Featuring Drake,2010,85
9172,Sweet Dreams,Beyonce,2010,86
9173,Use Somebody,Kings Of Leon,2010,87
9174,Undo It,Carrie Underwood,2010,88
9175,Eenie Meenie,Sean Kingston & Justin Bieber,2010,89
9176,Right Above It,Lil Wayne Featuring Drake,2010,90
9177,The House That Built Me,Miranda Lambert,2010,91
9178,If I Die Young,The Band Perry,2010,92
9179,The Only Exception,Paramore,2010,93
9180,American Honey,Lady Antebellum,2010,94
9181,King Of Anything,Sara Bareilles,2010,95
9182,Life After You,Daughtry,2010,96
9183,Smile,Uncle Kracker,2010,97
9184,Teach Me How To Dougie,Cali Swag District,2010,98
9185,Try Sleeping With A Broken Heart,Alicia Keys,2010,99
9186,"Lover, Lover",Jerrod Niemann,2010,100
9187,Rolling In The Deep,Adele,2011,1
9188,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2011,2
9189,Firework,Katy Perry,2011,3
9190,E.T.,Katy Perry Featuring Kanye West,2011,4
9191,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2011,5
9192,Grenade,Bruno Mars,2011,6
9193,Super Bass,Nicki Minaj,2011,8
9194,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2011,9
9195,Just Can't Get Enough,The Black Eyed Peas,2011,10
9196,On The Floor,Jennifer Lopez Featuring Pitbull,2011,11
9197,S&M,Rihanna,2011,12
9198,Pumped Up Kicks,Foster The People,2011,13
9199,Last Friday Night (T.G.I.F.),Katy Perry,2011,14
9200,Just The Way You Are,Bruno Mars,2011,15
9201,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,2011,16
9202,Raise Your Glass,P!nk,2011,17
9203,Born This Way,Lady Gaga,2011,18
9205,What's My Name?,Rihanna Featuring Drake,2011,20
9206,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,2011,21
9207,Down On Me,Jeremih Featuring 50 Cent,2011,22
9208,How To Love,Lil Wayne,2011,23
9209,Someone Like You,Adele,2011,24
